Date	Time	Lat	Lon	Wind	Pressure	Type
7/4/2005	6:00:00 PM	12.00	-60.80	29	1010	Tropical Depression
7/4/2005	9:00:00 PM	12.10	-61.60	35	1010	Tropical Depression
7/5/2005	12:00:00 AM	12.20	-62.50	35	1009	Tropical Depression
7/5/2005	3:00:00 AM	12.326	-63.36	35	1008	Tropical Depression
7/5/2005	6:00:00 AM	12.50	-64.20	35	1008	Tropical Depression
7/5/2005	9:00:00 AM	12.727	-65.073	37	1007	Tropical Depression
7/5/2005	12:00:00 PM	13.00	-65.90	40	1007	Tropical Storm
7/5/2005	3:00:00 PM	13.285	-66.638	43	1006	Tropical Storm
7/5/2005	6:00:00 PM	13.60	-67.30	46	1005	Tropical Storm
7/5/2005	9:00:00 PM	13.965	-67.915	48	1002	Tropical Storm
7/6/2005	12:00:00 AM	14.30	-68.50	52	1000	Tropical Storm
7/6/2005	3:00:00 AM	14.522	-69.10	54	997	Tropical Storm
7/6/2005	6:00:00 AM	14.70	-69.70	58	995	Tropical Storm
7/6/2005	9:00:00 AM	14.892	-70.315	60	993	Tropical Storm
7/6/2005	12:00:00 PM	15.10	-70.90	63	991	Tropical Storm
7/6/2005	3:00:00 PM	15.335	-71.408	66	990	Tropical Storm
7/6/2005	6:00:00 PM	15.60	-71.90	69	989	Tropical Storm
7/6/2005	9:00:00 PM	15.90	-72.443	75	985	Tropical Storm
7/7/2005	12:00:00 AM	16.20	-73.00	81	982	Category 1 Hurricane
7/7/2005	3:00:00 AM	16.428	-73.573	86	977	Category 1 Hurricane
7/7/2005	6:00:00 AM	16.70	-74.10	92	972	Category 1 Hurricane
7/7/2005	9:00:00 AM	17.12	-74.493	98	969	Category 2 Hurricane
7/7/2005	12:00:00 PM	17.60	-74.90	104	967	Category 2 Hurricane
7/7/2005	3:00:00 PM	18.05	-75.485	109	962	Category 2 Hurricane
7/7/2005	6:00:00 PM	18.50	-76.10	115	957	Category 3 Major Hurricane
7/7/2005	9:00:00 PM	18.93	-76.604	127	954	Category 3 Major Hurricane
7/8/2005	12:00:00 AM	19.40	-77.10	138	951	Category 4 Major Hurricane
7/8/2005	2:45:00 AM	19.90	-77.60	138	956	Category 4 Major Hurricane
7/8/2005	3:00:00 AM	19.938	-77.656	137	955	Category 4 Major Hurricane
7/8/2005	6:00:00 AM	20.30	-78.40	127	953	Category 3 Major Hurricane
7/8/2005	9:00:00 AM	20.579	-78.988	138	945	Category 4 Major Hurricane
7/8/2005	12:00:00 PM	20.90	-79.50	150	938	Category 4 Major Hurricane
7/8/2005	3:00:00 PM	21.463	-80.092	144	939	Category 4 Major Hurricane
7/8/2005	6:00:00 PM	22.00	-80.60	138	941	Category 4 Major Hurricane
7/8/2005	6:45:00 PM	22.10	-80.70	138	941	Category 4 Major Hurricane
7/8/2005	9:00:00 PM	22.371	-81.062	128	949	Category 3 Major Hurricane
7/9/2005	12:00:00 AM	22.70	-81.60	115	960	Category 3 Major Hurricane
7/9/2005	3:00:00 AM	23.034	-82.061	100	966	Category 2 Hurricane
7/9/2005	6:00:00 AM	23.40	-82.50	86	973	Category 1 Hurricane
7/9/2005	9:00:00 AM	23.835	-82.958	89	970	Category 1 Hurricane
7/9/2005	12:00:00 PM	24.30	-83.40	92	967	Category 1 Hurricane
7/9/2005	3:00:00 PM	24.75	-83.808	98	964	Category 2 Hurricane
7/9/2005	6:00:00 PM	25.20	-84.20	104	962	Category 2 Hurricane
7/9/2005	9:00:00 PM	25.635	-84.60	115	952	Category 3 Major Hurricane
7/10/2005	12:00:00 AM	26.10	-85.00	127	942	Category 3 Major Hurricane
7/10/2005	3:00:00 AM	26.62	-85.423	135	938	Category 4 Major Hurricane
7/10/2005	6:00:00 AM	27.20	-85.80	144	935	Category 4 Major Hurricane
7/10/2005	9:00:00 AM	27.827	-86.066	140	932	Category 4 Major Hurricane
7/10/2005	12:00:00 PM	28.50	-86.30	138	930	Category 4 Major Hurricane
7/10/2005	3:00:00 PM	29.119	-86.569	132	936	Category 4 Major Hurricane
7/10/2005	6:00:00 PM	29.90	-86.90	127	942	Category 3 Major Hurricane
7/10/2005	7:30:00 PM	30.40	-87.10	121	946	Category 3 Major Hurricane
7/10/2005	9:00:00 PM	30.827	-87.30	98	954	Category 2 Hurricane
7/11/2005	12:00:00 AM	31.50	-87.70	52	970	Tropical Storm
7/11/2005	3:00:00 AM	32.067	-88.136	43	980	Tropical Storm
7/11/2005	6:00:00 AM	32.60	-88.50	35	991	Tropical Depression
7/11/2005	9:00:00 AM	33.227	-88.688	31	994	Tropical Depression
7/11/2005	12:00:00 PM	33.90	-88.80	29	997	Tropical Depression
7/11/2005	3:00:00 PM	34.615	-88.965	25	999	Tropical Depression
7/11/2005	6:00:00 PM	35.30	-89.10	23	1002	Tropical Depression
7/11/2005	9:00:00 PM	35.902	-89.188	23	1002	Tropical Depression
7/12/2005	12:00:00 AM	36.40	-89.20	23	1003	Tropical Depression
7/12/2005	3:00:00 AM	36.787	-89.13	20	1004	Tropical Depression
7/12/2005	6:00:00 AM	37.10	-89.00	17	1005	Tropical Depression
7/12/2005	9:00:00 AM	37.422	-88.865	17	1006	Tropical Depression
7/12/2005	12:00:00 PM	37.70	-88.70	17	1007	Tropical Depression
7/12/2005	3:00:00 PM	37.915	-88.515	17	1007	Tropical Depression
7/12/2005	6:00:00 PM	38.10	-88.30	17	1008	Tropical Depression
7/12/2005	9:00:00 PM	38.30	-88.065	17	1008	Tropical Depression
7/13/2005	12:00:00 AM	38.50	-87.80	17	1009	Tropical Depression
7/13/2005	3:00:00 AM	38.707	-87.515	17	1009	Tropical Depression
7/13/2005	6:00:00 AM	38.90	-87.20	17	1010	Tropical Depression
7/13/2005	9:00:00 AM	39.08	-86.858	17	1010	Tropical Depression
7/13/2005	12:00:00 PM	39.20	-86.50	17	1010	Tropical Low
7/13/2005	3:00:00 PM	39.223	-86.105	17	1010	Tropical Low
7/13/2005	6:00:00 PM	39.20	-85.80	17	1010	Tropical Low
7/13/2005	9:00:00 PM	39.215	-85.705	14	1009	Tropical Low
7/14/2005	12:00:00 AM	39.20	-85.70	12	1009	Tropical Low
7/14/2005	3:00:00 AM	39.123	-85.642	12	1009	Tropical Low
7/14/2005	6:00:00 AM	39.00	-85.60	12	1009	Tropical Low
7/14/2005	9:00:00 AM	38.857	-85.593	12	1009	Tropical Low
7/14/2005	12:00:00 PM	38.70	-85.60	12	1010	Tropical Low
7/14/2005	3:00:00 PM	38.55	-85.585	12	1010	Tropical Low
7/14/2005	6:00:00 PM	38.40	-85.60	12	1010	Tropical Low
7/14/2005	9:00:00 PM	38.242	-85.67	12	1009	Tropical Low
7/15/2005	12:00:00 AM	38.10	-85.80	12	1009	Tropical Low
7/15/2005	3:00:00 AM	37.963	-86.00	12	1009	Tropical Low
7/15/2005	6:00:00 AM	37.90	-86.20	12	1010	Tropical Low
7/15/2005	9:00:00 AM	37.962	-86.315	12	1011	Tropical Low
7/15/2005	12:00:00 PM	38.10	-86.40	12	1012	Tropical Low
7/15/2005	3:00:00 PM	38.25	-86.50	12	1012	Tropical Low
7/15/2005	6:00:00 PM	38.40	-86.60	12	1012	Tropical Low
7/15/2005	9:00:00 PM	38.463	-86.737	12	1011	Tropical Low
7/16/2005	12:00:00 AM	38.60	-86.80	12	1011	Tropical Low
7/16/2005	3:00:00 AM	38.955	-86.688	12	1012	Tropical Low
7/16/2005	6:00:00 AM	39.40	-86.50	12	1013	Tropical Low
7/16/2005	9:00:00 AM	39.815	-86.402	12	1013	Tropical Low
7/16/2005	12:00:00 PM	40.20	-86.20	12	1013	Tropical Low
7/16/2005	3:00:00 PM	40.523	-85.76	12	1013	Tropical Low
7/16/2005	6:00:00 PM	40.80	-85.20	12	1014	Tropical Low
7/16/2005	9:00:00 PM	41.028	-84.642	12	1013	Tropical Low
7/17/2005	12:00:00 AM	41.30	-84.10	12	1013	Tropical Low
7/17/2005	3:00:00 AM	41.72	-83.635	12	1013	Tropical Low
7/17/2005	6:00:00 AM	42.20	-83.20	12	1013	Tropical Low
7/17/2005	9:00:00 AM	42.657	-82.75	12	1013	Tropical Low
7/17/2005	12:00:00 PM	43.10	-82.30	12	1013	Tropical Low
7/17/2005	3:00:00 PM	43.515	-81.849	12	1012	Tropical Low
7/17/2005	6:00:00 PM	43.90	-81.40	12	1012	Tropical Low
7/17/2005	9:00:00 PM	44.22	-80.934	12	1011	Tropical Low
7/18/2005	12:00:00 AM	44.60	-80.50	12	1010	Tropical Low
7/18/2005	3:00:00 AM	45.148	-80.132	12	1009	Tropical Low
7/18/2005	6:00:00 AM	45.80	-79.80	12	1009	Tropical Low
